title,responsibleOrganisation,publicationDate,category,descriptionFileName,specificationDocuments,documentation,charter,reports,presentations,dateOfRegistration,dateOfAcknowledgementByWorkingGroup,dateOfAcknowledgementBySteeringCommittee,datePublicReviewStart,datePublicReviewEnd,endOfPublicationDate,usage,status
wegenenverkeer implementatiemodel Dynamische borden,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Ecologische maatregelen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Eenvoudige datatypes,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Elektrische componenten,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Fietstelinstallatie,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Hulpposten,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Inbreuken zwaar vervoer,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
"wegenenverkeer implementatiemodel Kasten, cabines, behuizing",true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Lijnvormige elementen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Luchtkwaliteit,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Luidsprekers en intercom,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Master-implementatiemodel,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Meten in Vlaanderen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Optisch transport netwerk,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Proeven en metingen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Relaties,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Riolering,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Signalisatie,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Slagbomen en doorsteken,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Software en hardware,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Tunnelevacuatie,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Union datatypes,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Vegetatie,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Ventilatie,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Verharding en wegfundering,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Verkeersregelinstallatie,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Verlichtingsinstallatie,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Zone 30,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer vocabularium abstracten,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer vocabularium implementatieelementen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer vocabularium installatie,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer vocabularium levenscyclus,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer vocabularium onderdeel,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer vocabularium proefenmeting,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Data standaarden wegenenverkeer,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium en applicatieprofiel air and water,true,false,true,true,true,false,true,true,true,true,false,false,false,false,false,false,true
Applicatieprofiel Fietsinfrastructuur,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true
Vocabularium Fietsinfrastructuur,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true
Applicatieprofiel DCAT-AP VL 2.0,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true
Vocabularium en applicatieprofiel OSLO Consent,true,false,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel GeoDCAT-AP VL,true,true,true,true,true,true,true,false,true,true,false,false,false,true,false,true,true
Applicatieprofiel Vervoersknooppunten,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Vervoersknooppunten,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel LDES,true,true,true,true,true,false,true,true,true,true,false,true,false,false,false,true,true
Vocabularium LDES,true,true,true,true,true,false,true,true,true,true,false,true,false,false,false,true,true
Applicatieprofiel Cultuur- en Jeugdinfrastructuur,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true
Vocabularium Cultuur- en Jeugdinfrastructuur,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true
Applicatieprofiel Bestuurlijk Sanctieregister,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Bestuurlijke Sancties,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Passenger Transport Hubs,true,true,true,true,true,false,true,true,true,false,false,true,false,true,false,true,true
Vocabularium Passenger Transport Hubs,true,true,true,true,true,false,true,true,true,false,false,true,false,true,false,true,true
Vocabularium Leercredential,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true
Applicatieprofiel Leerprestatiecredential,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Publicatie-Advertentie,true,true,true,true,true,false,true,true,true,true,true,false,false,false,false,true,true
Vocabularium Publicatie-Advertentie,true,true,true,true,true,false,true,true,true,true,true,false,false,false,false,true,true
Vocabularium en implementatiemodel IPDC - LPDC,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,true
Applicatieprofiel OSLO Slimme Stadsdistributie,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Vocabularium OSLO Slimme Stadsdistributie,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Mobiliteitsbudget,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true
Vocabularium Mobiliteitsbudget,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true
Implementatiemodel Kwaliteit Wegen en Wegmarkeringen,true,true,true,true,true,false,true,true,true,true,true,false,false,false,false,true,true
Vocabularium Kwaliteit Wegen en Wegmarkeringen,true,true,true,true,true,false,true,true,true,true,true,false,false,false,false,true,true
Applicatieprofiel Slimme Raadpleegomgeving,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true
Vocabularium Slimme Raadpleegomgeving,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true
Applicatieprofiel Lokale Economie,true,true,true,true,true,false,true,true,true,false,false,false,false,false,false,true,true
Vocabularium Lokale Economie,true,true,true,true,true,false,true,true,true,false,false,false,false,false,false,true,true
Applicatieprofiel Overlijdensaangifte,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Overlijdensaangifte,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Gezondheidstoestand Persoon,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
