naam,rapport,verantwoordelijke_organisatie,identificator_organisatie,publicatiedatum,type_toepassing,categorie,beschrijving,specificatiedocument,documentatie,charter,verslagen,presentaties,functioneel_toepassingsgebied,organisatorisch_werkingsgebied,datum_van_aanmelding,erkenning_werkgroep_datastandaarden,erkenning_stuurgroep,datum_einde_review,organisatie,herroeping_stuurgroep,register,datum_van_review
Applicatieprofiel Mobiliteit: Dienstregeling en Planning Stopplaatsen,https://github.com/Informatievlaanderen/OSLO-Generated/raw/production/report/doc/applicatieprofiel/mobiliteit/dienstregeling-en-planning/stopplaatsen/erkendestandaard/2022-04-21/all-stopplaatsen-ap.jsonld,De Lijn,http://data.vlaanderen.be/id/organisatie/OVO000100,2022-04-21,aanbevolen (vrijwillig),Applicatieprofiel,ap-dienstregeling-en-planning.md,"[{""naam"":""Applicatieprofiel Stopplaatsen"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/mobiliteit/dienstregeling-en-planning/stopplaatsen/""}]",[],"[{""naam"":""Werkgroep Charter OSLO Mobiliteit - Dienstregeling en Planning"",""waarde"":""Charter - OSLO Mobiliteit - Dienstregeling en Planning.docx""}]","[{""naam"":""Verslag business werkgroep - 11 januari 2021"",""waarde"":""20210111 - OSLO Mobiliteit - Dienstregeling en Planning - Business Werkgroep - Verslag.pdf""},{""naam"":""Verslag thematische werkgroep 1 - 8 februari 2021"",""waarde"":""20210208 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 1 - Verslag.pdf""},{""naam"":""Verslag thematische werkgroep 2 - 25 maart 2021"",""waarde"":""20210325 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische werkgroep 2 - Verslag.docx""},{""naam"":""Verslag thematische werkgroep 3 - 22 april 2021"",""waarde"":""20210422 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische werkgroep 3 - Verslag.docx""}]","[{""naam"":""Presentatie business werkgroep - 11 januari 2021"",""waarde"":""20210111 - OSLO Mobiliteit - Dienstregeling en Planning - Business Werkgroep - Presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 1 - 8 februari 2021"",""waarde"":""20210208 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 1 - Presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 2 - 25 maart 2021"",""waarde"":""20210325 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 2 - Presentatie.pptx""},{""naam"":""Presentatie thematische werkgroep 3 - 22 april 2021"",""waarde"":""20210422 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 3 - Presentatie.pptx""}]",Semantische standaard voor informatie over dienstregeling- en planningsinformatie,alle entiteiten van de Vlaamse overheid,2020-11-12,2022-03-17,2022-04-21,undefined,undefined,undefined,undefined,undefined
Applicatieprofiel Mobiliteit: Dienstregeling en Planning Tijdstabellen,https://github.com/Informatievlaanderen/OSLO-Generated/raw/production/report/doc/applicatieprofiel/mobiliteit/dienstregeling-en-planning/tijdstabellen/erkendestandaard/2022-04-21/all-tijdstabellen-ap.jsonld,De Lijn,http://data.vlaanderen.be/id/organisatie/OVO000100,2022-04-21,aanbevolen (vrijwillig),Applicatieprofiel,ap-dienstregeling-en-planning.md,"[{""naam"":""Applicatieprofiel Tijdstabellen"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/mobiliteit/dienstregeling-en-planning/tijdstabellen/""}]",[],"[{""naam"":""Werkgroep Charter OSLO Mobiliteit - Dienstregeling en Planning"",""waarde"":""Charter - OSLO Mobiliteit - Dienstregeling en Planning.docx""}]","[{""naam"":""Verslag business werkgroep - 11 januari 2021"",""waarde"":""20210111 - OSLO Mobiliteit - Dienstregeling en Planning - Business Werkgroep - Verslag.pdf""},{""naam"":""Verslag thematische werkgroep 1 - 8 februari 2021"",""waarde"":""20210208 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 1 - Verslag.pdf""},{""naam"":""Verslag thematische werkgroep 2 - 25 maart 2021"",""waarde"":""20210325 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische werkgroep 2 - Verslag.docx""},{""naam"":""Verslag thematische werkgroep 3 - 22 april 2021"",""waarde"":""20210422 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische werkgroep 3 - Verslag.docx""}]","[{""naam"":""Presentatie business werkgroep - 11 januari 2021"",""waarde"":""20210111 - OSLO Mobiliteit - Dienstregeling en Planning - Business Werkgroep - Presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 1 - 8 februari 2021"",""waarde"":""20210208 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 1 - Presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 2 - 25 maart 2021"",""waarde"":""20210325 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 2 - Presentatie.pptx""},{""naam"":""Presentatie thematische werkgroep 3 - 22 april 2021"",""waarde"":""20210422 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 3 - Presentatie.pptx""}]",Semantische standaard voor informatie over dienstregeling- en planningsinformatie,alle entiteiten van de Vlaamse overheid,2020-11-12,2022-03-17,2022-04-21,undefined,undefined,undefined,undefined,undefined
Applicatieprofiel Mobiliteit: Dienstregeling en Planning Voertuigplanning,https://github.com/Informatievlaanderen/OSLO-Generated/raw/production/report/doc/applicatieprofiel/mobiliteit/dienstregeling-en-planning/voertuigplanning/erkendestandaard/2022-04-21/all-voertuigplanning-ap.jsonld,De Lijn,http://data.vlaanderen.be/id/organisatie/OVO000100,2022-04-21,aanbevolen (vrijwillig),Applicatieprofiel,ap-dienstregeling-en-planning.md,"[{""naam"":""Applicatieprofiel Voertuigplanning"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/mobiliteit/dienstregeling-en-planning/voertuigplanning/""}]",[],"[{""naam"":""Werkgroep Charter OSLO Mobiliteit - Dienstregeling en Planning"",""waarde"":""Charter - OSLO Mobiliteit - Dienstregeling en Planning.docx""}]","[{""naam"":""Verslag business werkgroep - 11 januari 2021"",""waarde"":""20210111 - OSLO Mobiliteit - Dienstregeling en Planning - Business Werkgroep - Verslag.pdf""},{""naam"":""Verslag thematische werkgroep 1 - 8 februari 2021"",""waarde"":""20210208 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 1 - Verslag.pdf""},{""naam"":""Verslag thematische werkgroep 2 - 25 maart 2021"",""waarde"":""20210325 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische werkgroep 2 - Verslag.docx""},{""naam"":""Verslag thematische werkgroep 3 - 22 april 2021"",""waarde"":""20210422 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische werkgroep 3 - Verslag.docx""}]","[{""naam"":""Presentatie business werkgroep - 11 januari 2021"",""waarde"":""20210111 - OSLO Mobiliteit - Dienstregeling en Planning - Business Werkgroep - Presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 1 - 8 februari 2021"",""waarde"":""20210208 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 1 - Presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 2 - 25 maart 2021"",""waarde"":""20210325 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 2 - Presentatie.pptx""},{""naam"":""Presentatie thematische werkgroep 3 - 22 april 2021"",""waarde"":""20210422 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 3 - Presentatie.pptx""}]",Semantische standaard voor informatie over dienstregeling- en planningsinformatie,alle entiteiten van de Vlaamse overheid,2020-11-12,2022-03-17,2022-04-21,undefined,undefined,undefined,undefined,undefined
Vocabularium Mobiliteit: Dienstregeling en Planning,https://github.com/Informatievlaanderen/OSLO-Generated/raw/production/report/doc/vocabularium/mobiliteit/dienstregeling-en-planning/erkendestandaard/2022-04-21/all-dienstregeling-en-planning-voc.jsonld,De Lijn,http://data.vlaanderen.be/id/organisatie/OVO000100,2022-04-21,aanbevolen (vrijwillig),Vocabularium,voc-dienstregeling-en-planning.md,"[{""naam"":""Vocabularium Dienstregeling en Planning"",""waarde"":""https://data.vlaanderen.be/ns/mobiliteit/dienstregeling-en-planning/""},{""naam"":""Vocabulary Timetables and Planning"",""waarde"":""https://purl.eu/ns/mobility/timetables-and-planning""}]",[],"[{""naam"":""Werkgroep Charter OSLO Mobiliteit - Dienstregeling en Planning"",""waarde"":""Charter - OSLO Mobiliteit - Dienstregeling en Planning.docx""}]","[{""naam"":""Verslag business werkgroep - 11 januari 2021"",""waarde"":""20210111 - OSLO Mobiliteit - Dienstregeling en Planning - Business Werkgroep - Verslag.pdf""},{""naam"":""Verslag thematische werkgroep 1 - 8 februari 2021"",""waarde"":""20210208 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 1 - Verslag.pdf""},{""naam"":""Verslag thematische werkgroep 2 - 25 maart 2021"",""waarde"":""20210325 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische werkgroep 2 - Verslag.docx""},{""naam"":""Verslag thematische werkgroep 3 - 22 april 2021"",""waarde"":""20210422 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische werkgroep 3 - Verslag.docx""}]","[{""naam"":""Presentatie business werkgroep - 11 januari 2021"",""waarde"":""20210111 - OSLO Mobiliteit - Dienstregeling en Planning - Business Werkgroep - Presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 1 - 8 februari 2021"",""waarde"":""20210208 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 1 - Presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 2 - 25 maart 2021"",""waarde"":""20210325 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 2 - Presentatie.pptx""},{""naam"":""Presentatie thematische werkgroep 3 - 22 april 2021"",""waarde"":""20210422 - OSLO Mobiliteit - Dienstregeling en Planning - Thematische Werkgroep 3 - Presentatie.pptx""}]",Semantische standaard voor informatie over dienstregeling- en planningsinformatie,alle entiteiten van de Vlaamse overheid,2020-11-12,2022-03-17,2022-04-21,undefined,undefined,undefined,undefined,undefined
Vocabularium Persoon,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/test/report/doc/vocabularium/persoon/ontwerpdocument/2020-01-06/all-persoon.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,2018-07-03,Aanbevolen (vrijwillig),Vocabularium,voc-persoon.md,"[{""naam"":""Vocabularium Persoon"",""waarde"":""https://data.vlaanderen.be/ns/persoon""}]",[],"[{""naam"":""Werkgroep Charter OSLO Persoon"",""waarde"":""Werkgroep Charter - OSLO Persoon.docx""}]","[{""naam"":""Verslag Thematische Werkgroep 1 - 2017-01-12"",""waarde"":""Verslag TWG1 Persoon 12012017.docx""},{""naam"":""Publieke Thematische Werkgroep 2 - 2017-03-15"",""waarde"":""Verslag TWG2 Persoon 15032017.docx""}]","[{""naam"":""Publieke Werkgroep OSLO-Persoon 2017-01-12"",""waarde"":""OsloPersoonPubliekeWerkgroep20170112.pptx""},{""naam"":""Publieke Werkgroep OSLO-Persoon 2017-03-15"",""waarde"":""OsloPersoonPubliekeWerkgroep20170315.pptx""},{""naam"":""Webcast Persoon 2018-05-15"",""waarde"":""OSLO-Persoon.pptx""}]",Semantische standaard voor informatie met betrekking tot personen,alle entiteiten van de Vlaamse overheid,10 April 2018 (retroactief),29 Mei 2018,03 Juli 2018,undefined,undefined,undefined,undefined,undefined
Applicatieprofiel Persoon basis,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/test/report/doc/applicatieprofiel/persoon-basis/ontwerpdocument/2020-01-06/all-persoon-basis.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,TBD,TBD,Applicatieprofiel,ap-persoon-basis.md,"[{""naam"":""Applicatieprofiel Persoon basis"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/persoon-basis/""}]",[],"[{""naam"":""Werkgroep Charter OSLO Persoon"",""waarde"":""Werkgroep Charter - OSLO Persoon.docx""}]","[{""naam"":""Verslag Thematische Werkgroep 1 - 2017-01-12"",""waarde"":""Verslag TWG1 Persoon 12012017.docx""},{""naam"":""Publieke Thematische Werkgroep 2 - 2017-03-15"",""waarde"":""Verslag TWG2 Persoon 15032017.docx""}]","[{""naam"":""Publieke Werkgroep OSLO-Persoon 2017-01-12"",""waarde"":""OsloPersoonPubliekeWerkgroep20170112.pptx""},{""naam"":""Publieke Werkgroep OSLO-Persoon 2017-03-15"",""waarde"":""OsloPersoonPubliekeWerkgroep20170315.pptx""},{""naam"":""Webcast Persoon 2018-05-15"",""waarde"":""OSLO-Persoon.pptx""}]",Semantische standaard voor informatie met betrekking tot personen,alle entiteiten van de Vlaamse overheid,10 April 2018 (retroactief),TBD,TBD,undefined,undefined,undefined,undefined,undefined
Vocabularium Weg,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/test/report/doc/vocabularium/weg/ontwerpdocument/2020-01-06/all-weg.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,2018-11-27,Aanbevolen (vrijwillig),Vocabularium,voc-weg.md,"[{""naam"":""Vocabularium Weg"",""waarde"":""https://data.vlaanderen.be/ns/weg""}]",[],"[{""naam"":""Werkgroep Charter OSLO Weg"",""waarde"":""WerkgroepcharterOSLOWegen.pdf""}]","[{""naam"":""Verslag eerste overleg Wegenregister 2017-09-26"",""waarde"":""Verslag eerste overleg Wegenregister dd26092017.docx""},{""naam"":""Verslag tweede overleg Wegenregister 2017-11-07"",""waarde"":""Verslag tweede overleg Wegenregister dd07112017.docx""},{""naam"":""Verslag derde overleg Wegenregister 2017-11-21"",""waarde"":""Verslag derde overleg Wegenregister dd21112017.docx""},{""naam"":""Verslag viede overleg Wegenregister 2017-12-15"",""waarde"":""Verslag vierde overleg Wegenregister dd15122017.docx""}]","[{""naam"":""Publieke Review OSLO Wegen - 2018-06-01"",""waarde"":""20180601 Publieke review_uitgestuurd.pptx""},{""naam"":""Webcast OSLO Wegen - 2018-06-26"",""waarde"":""20180626 webcast OSLO Wegen.pptx""},{""naam"":""Infosessie OSLO Wegen - 2018-07-06"",""waarde"":""AIV wegenregister - NL-DK-FI_v0.03.pptx""}]",Semantische standaard voor informatie met betrekking tot wegen,alle entiteiten van de Vlaamse Overheid,10 April 2018 (retroactief),04 Oktober 2018,27 November 2018,undefined,undefined,undefined,undefined,undefined
Applicatieprofiel Wegenregister,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/test/report/doc/applicatieprofiel/wegenregister/ontwerpdocument/2020-01-06/all-wegenregister.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,TBD,TBD,Applicatieprofiel,ap-wegenregister.md,"[{""naam"":""Applicatieprofiel Wegenregister"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/wegenregister/""}]",[],"[{""naam"":""Werkgroep Charter OSLO Weg"",""waarde"":""WerkgroepcharterOSLOWegen.pdf""}]","[{""naam"":""Verslag eerste overleg Wegenregister 2017-09-26"",""waarde"":""Verslag eerste overleg Wegenregister dd26092017.docx""},{""naam"":""Verslag tweede overleg Wegenregister 2017-11-07"",""waarde"":""Verslag tweede overleg Wegenregister dd07112017.docx""},{""naam"":""Verslag derde overleg Wegenregister 2017-11-21"",""waarde"":""Verslag derde overleg Wegenregister dd21112017.docx""},{""naam"":""Verslag viede overleg Wegenregister 2017-12-15"",""waarde"":""Verslag vierde overleg Wegenregister dd15122017.docx""}]","[{""naam"":""AIV Wegenregister"",""waarde"":""AIV wegenregister - NL-DK-FI_v0.03.pptx""}]",Semantische standaard voor het bouwen van een wegenregister,alle entiteiten van de Vlaamse overheid,10 April 2018 (retroactief),04 Oktober 2018,TBD,undefined,undefined,undefined,undefined,undefined
Applicatieprofiel Dienst Transactiemodel,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/test/report/doc/applicatieprofiel/dienst-transactiemodel/ontwerpdocument/2019-02-07/all-dienst-transactiemodel.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,2019-02-07,Aanbevolen (vrijwillig),Applicatieprofiel,ap-dienst-transactiemodel.md,"[{""naam"":""Applicatieprofiel Dienst Transactiemodel"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/dienst-transactiemodel/""}]",[],[],"[{""naam"":""Verslag - OSLO - Mijn Burgerprofiel - Transactionele Dienstverlening - Werkgroep 1"",""waarde"":""Verslag - OSLO - Mijn Burgerprofiel - Transactionele Dienstverlening - Werkgroep 1.docx""},{""naam"":""Verslag - OSLO - Mijn Burgerprofiel - Transactionele Dienstverlening - Werkgroep 2"",""waarde"":""Verslag - OSLO - Mijn Burgerprofiel - Transactionele Dienstverlening - Werkgroep 2.docx""},{""naam"":""Verslag - OSLO - Mijn Burgerprofiel - Transactionele Dienstverlening - Werkgroep 3"",""waarde"":""Verslag - OSLO - Mijn Burgerprofiel - Transactionele Dienstverlening - Werkgroep 3.docx""}]",[],Semantische standaard voor informatie met betrekking tot de dienstverlening die wordt afgenomen bij de overheid door burgers en ondernemers,alle entiteiten van de Vlaamse overheid,08 Maart 2018,8 november 2018,02 februari 2019,undefined,undefined,undefined,undefined,undefined
Vocabularium Transactie,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/test/report/doc/vocabularium/transactie/ontwerpdocument/2020-01-06/all-transactie.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,2019-02-07,Aanbevolen (vrijwillig),Vocabularium,voc-transactie.md,"[{""naam"":""Vocabularium Transactie"",""waarde"":""https://data.vlaanderen.be/ns/transactie""}]",[],[],"[{""naam"":""Verslag - OSLO - Mijn Burgerprofiel - Transactionele Dienstverlening - Werkgroep 1"",""waarde"":""Verslag - OSLO - Mijn Burgerprofiel - Transactionele Dienstverlening - Werkgroep 1.docx""},{""naam"":""Verslag - OSLO - Mijn Burgerprofiel - Transactionele Dienstverlening - Werkgroep 2"",""waarde"":""Verslag - OSLO - Mijn Burgerprofiel - Transactionele Dienstverlening - Werkgroep 2.docx""},{""naam"":""Verslag - OSLO - Mijn Burgerprofiel - Transactionele Dienstverlening - Werkgroep 3"",""waarde"":""Verslag - OSLO - Mijn Burgerprofiel - Transactionele Dienstverlening - Werkgroep 3.docx""}]",[],Semantische standaard voor informatie met betrekking tot de dienstverlening die wordt afgenomen bij de overheid door burgers en ondernemers,alle entiteiten van de Vlaamse overheid,08 Maart 2018,8 november 2018,02 februari 2019,undefined,undefined,undefined,undefined,undefined
Vocabularium Dienst,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/test/report/doc/vocabularium/dienst/ontwerpdocument/2020-01-06/all-dienst.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,2018-07-03,Aanbevolen (vrijwillig),Vocabularium,voc-dienst.md,"[{""naam"":""Vocabularium Dienst"",""waarde"":""https://data.vlaanderen.be/ns/dienst""}]",[],"[{""naam"":""Werkgroep Charter OSLO Dienst"",""waarde"":""Werkgroep Charter - OSLO Dienst.docx""}]","[{""naam"":""Thematische Werkgroep Dienstverlening 2016-06-27"",""waarde"":""https://drive.google.com/open?id=1DG5vTplTgPkdhndVhF-4gEjtSsDRKmN-G6O-sPJSnNI""},{""naam"":""Verslag Thematische Werkgroep Dienstverlening 2016-06-27"",""waarde"":""https://drive.google.com/open?id=1a-zmKBB1CqhMD7695-03NkmdEyeM9IxBEyWc5uBhgJc""},{""naam"":""Thematische Werkgroep Dienstverlening 2016-10-03"",""waarde"":""https://drive.google.com/open?id=1MhxFNv56sdtzw83tePXqNg_Zb6w4jwVt8fcCjax8I2k""},{""naam"":""Verslag Thematische Werkgroep Dienstverlening 2016-10-03"",""waarde"":""https://drive.google.com/open?id=1GWzwHhUi00NFoYL-9h1mfmPdD5gsnuiwErggq_F4o8I""},{""naam"":""Verslag PWG Dienstverlening 2017-01-12"",""waarde"":""https://drive.google.com/open?id=1LZ_p7Sz59sUc8cR393nIEsadJE-8dDl9BUc8bkVdSLI""},{""naam"":""Verslag PWG Dienstverlening 2017-02-22"",""waarde"":""https://drive.google.com/open?id=19Nnx2PJb6TjoXKh9PRcRY9krs0Tzjjt7lIEZ6YhPMPo""}]","[{""naam"":""Webcast OSLO-Dienst 2018-05-09 - Presentatie"",""waarde"":""Webcast OSLO-Dienst - 09-05-2018 - finale versie.pptx""},{""naam"":""Thematische Werkgroep Dienstverlening 2016-10-03 - Presentatie"",""waarde"":""https://drive.google.com/open?id=1yRjnrZYArbQMwQNb_QU0g4TO3WSukNJyseJFRcrv_ig""}]",Semantische standaard voor informatie m.b.t. publieke dienstverlening,alle entiteiten van de Vlaamse overheid,10 April 2018 (retroactief),29 Mei 2018,03 Juli 2018,undefined,undefined,undefined,undefined,undefined
Applicatieprofiel Dienstencataloog,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/test/report/doc/applicatieprofiel/dienstencataloog/ontwerpdocument/niet-bepaald/all-dienstencataloog.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,TBD,Aanbevolen (vrijwillig),Applicatieprofiel,ap-dienstencataloog.md,"[{""naam"":""Applicatieprofiel Dienstencataloog"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/dienstencataloog/""}]",[],"[{""naam"":""Werkgroep Charter OSLO Dienst"",""waarde"":""Werkgroep Charter - OSLO Dienst.docx""}]","[{""naam"":""Thematische Werkgroep Dienstverlening 2016-06-27"",""waarde"":""https://drive.google.com/open?id=1DG5vTplTgPkdhndVhF-4gEjtSsDRKmN-G6O-sPJSnNI""},{""naam"":""Verslag Thematische Werkgroep Dienstverlening 2016-06-27"",""waarde"":""https://drive.google.com/open?id=1a-zmKBB1CqhMD7695-03NkmdEyeM9IxBEyWc5uBhgJc""},{""naam"":""Thematische Werkgroep Dienstverlening 2016-10-03"",""waarde"":""https://drive.google.com/open?id=1MhxFNv56sdtzw83tePXqNg_Zb6w4jwVt8fcCjax8I2k""},{""naam"":""Verslag Thematische Werkgroep Dienstverlening 2016-10-03"",""waarde"":""https://drive.google.com/open?id=1GWzwHhUi00NFoYL-9h1mfmPdD5gsnuiwErggq_F4o8I""},{""naam"":""Verslag PWG Dienstverlening 2017-01-12"",""waarde"":""https://drive.google.com/open?id=1LZ_p7Sz59sUc8cR393nIEsadJE-8dDl9BUc8bkVdSLI""},{""naam"":""Verslag PWG Dienstverlening 2017-02-22"",""waarde"":""https://drive.google.com/open?id=19Nnx2PJb6TjoXKh9PRcRY9krs0Tzjjt7lIEZ6YhPMPo""}]","[{""naam"":""Webcast OSLO-Dienst 2018-05-09 - Presentatie"",""waarde"":""Webcast OSLO-Dienst - 09-05-2018 - finale versie.pptx""},{""naam"":""Thematische Werkgroep Dienstverlening 2016-10-03 - Presentatie"",""waarde"":""https://drive.google.com/open?id=1yRjnrZYArbQMwQNb_QU0g4TO3WSukNJyseJFRcrv_ig""}]",Semantische standaard voor informatie m.b.t. publieke dienstverlening,alle entiteiten van de Vlaamse overheid,10 April 2018 (retroactief),TBD,TBD,undefined,undefined,undefined,undefined,undefined
Applicatieprofiel Vlaamse Codex,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/test/report/doc/applicatieprofiel/vlaamse-codex/ontwerpdocument/2020-01-06/all-vlaamse-codex.jsonld,Departement Kanselarij en Bestuur,http://data.vlaanderen.be/id/organisatie/OVO001827,2019-02-07,Aanbevolen (vrijwillig),Applicatieprofiel,ap-vlaamse-codex.md,"[{""naam"":""Applicatieprofiel Vlaamse Codex"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/vlaamse-codex/""}]","[{""naam"":""Proof-of-concept SPARQL Endpoint"",""waarde"":""https://staging.opendata.codex.vandenbroele.be:8888/sparql""}]",[],"[{""naam"":""Werkgroepsessie 2 maart 2018"",""waarde"":""Vlaamse Codex - Klankbordgroep sessie 2 maart 2018.pdf""},{""naam"":""Werkgroepsessie 25 september 2018"",""waarde"":""Verslag (Klankbordgroep) - Implementatie van de Vlaamse Codex - 25-09-2018.pdf""},{""naam"":""Webcast 27 november 2018"",""waarde"":""Verslag (Webcast) - Implementatie van de Vlaamse Codex - 27-11-2018.pdf""}]","[{""naam"":""Presentatie Inspiratienamiddag OSLO (Vlaamse Codex luik) - 19 februari 2019"",""waarde"":""Inspiratienamiddag 19 Feb 2019.pptx""}]",Semantische standaard voor het ontsluiten van (geconsolideerde) regelgevende documenten.,alle entiteiten van de Vlaamse overheid en in het bijzonder de Vlaamse Codex,10 April 2018,4 december 2018,07 febuari 2019,undefined,undefined,undefined,undefined,undefined
Vocabularium Organisatie,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/test/report/reverseengineeredOnlyForContributions/organisatie.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,2018-07-03,Aanbevolen (vrijwillig),Vocabularium,voc-organisatie.md,"[{""naam"":""Vocabularium Organisatie"",""waarde"":""https://data.vlaanderen.be/ns/organisatie""}]",[],"[{""naam"":""Werkgroep Charter OSLO Organisatie"",""waarde"":""Werkgroep Charter - OSLO Organisatie.docx""}]","[{""naam"":""Verslag PWG Organisatie 1 2017-01-27"",""waarde"":""Verslag PWG Organisatie 1 21012017 - V0.1.docx""},{""naam"":""Verslag Thematische Werkgroep Organisatie 1 2016-06-16"",""waarde"":""Thematische Werkgroep Organisaties 1.docx""},{""naam"":""Verslag Thematische Werkgroep Organisatie 2 2016-10-12"",""waarde"":""Thematische Werkgroep Organisaties 2.docx""},{""naam"":""Verslag Thematische Werkgroep Organisatie 3 2016-11-21"",""waarde"":""Thematische Werkgroep Organisaties 3.docx""}]","[{""naam"":""PWG Organisaties 2017-01-27"",""waarde"":""OsloOrganisatiePubliekeWerkgroep20170126.pptx""},{""naam"":""Thematische Werkgroep Organisatie 1 2016-06-16"",""waarde"":""https://docs.google.com/presentation/d/1HnBY2VuR_jkwukCnLUqUd-rI3Z4NyU6NzI77XfKgjOE/edit?usp=sharing""},{""naam"":""Thematische Werkgroep Organisatie 2 2016-10-12"",""waarde"":""https://drive.google.com/open?id=0BxWU3ux2quItWWVEXy1XS3pXclE""},{""naam"":""Webcast Organisatie - 2018-05-09"",""waarde"":""OSLO-Organisatie - 09052018 - finale versie.pptx""}]",Semantische standaard voor informatie met betrekking tot organisaties,alle entiteiten van de Vlaamse overheid,10 April 2018,28 Mei 2018,03 Juli 2018,undefined,undefined,undefined,undefined,undefined
